iter	Passed	Remaining
0	61	18516
1	63	9504
2	65	6508
3	67	4992
4	69	4088
5	70	3475
6	73	3086
7	75	2753
8	77	2491
9	78	2282
10	80	2113
11	82	1975
12	83	1853
13	85	1753
14	87	1660
15	89	1584
16	90	1513
17	92	1449
18	94	1391
19	95	1339
20	97	1294
21	99	1253
22	100	1213
23	102	1177
24	103	1143
25	105	1116
26	107	1087
27	109	1060
28	110	1035
29	112	1012
30	114	991
31	115	970
32	117	950
33	119	931
34	120	913
35	121	894
36	123	879
37	125	864
38	127	850
39	128	835
40	130	823
41	132	811
42	133	799
43	135	788
44	137	777
45	139	767
46	140	756
47	142	746
48	143	736
49	145	727
50	147	719
51	148	710
52	150	701
53	152	693
54	154	686
55	156	680
56	157	672
57	159	665
58	161	659
59	163	653
60	164	646
61	166	640
62	168	633
63	170	627
64	172	622
65	173	615
66	175	609
67	176	603
68	178	598
69	180	593
70	182	588
71	183	582
72	185	577
73	187	572
74	189	567
75	190	561
76	192	556
77	193	552
78	195	548
79	197	543
80	199	538
81	200	533
82	202	529
83	204	524
84	205	520
85	207	516
86	209	512
87	210	507
88	212	503
89	214	500
90	216	497
91	218	493
92	219	489
93	221	485
94	223	481
95	224	478
96	226	474
97	228	470
98	230	467
99	232	464
100	234	461
101	236	458
102	237	455
103	239	451
104	241	448
105	243	444
106	245	441
107	246	438
108	248	435
109	251	433
110	252	430
111	254	427
112	256	424
113	257	420
114	259	417
115	261	415
116	263	412
117	265	409
118	267	406
119	269	404
120	271	401
121	272	398
122	274	395
123	276	392
124	278	389
125	280	386
126	281	383
127	283	380
128	285	378
129	287	375
130	288	372
131	290	370
132	292	367
133	294	364
134	296	362
135	297	359
136	299	356
137	301	353
138	302	350
139	304	348
140	306	345
141	308	343
142	309	340
143	311	337
144	313	335
145	315	332
146	317	329
147	318	327
148	320	325
149	322	322
150	324	319
151	325	317
152	327	314
153	329	312
154	331	309
155	333	307
156	334	305
157	336	302
158	338	300
159	340	298
160	342	295
161	344	293
162	345	290
163	347	288
164	349	285
165	350	283
166	352	280
167	353	278
168	355	275
169	357	273
170	358	270
171	360	268
172	362	265
173	363	263
174	365	260
175	366	258
176	368	256
177	370	253
178	372	251
179	373	249
180	375	246
181	376	244
182	378	242
183	380	239
184	381	237
185	383	235
186	385	232
187	387	230
188	388	228
189	390	226
190	392	223
191	393	221
192	395	219
193	397	217
194	399	215
195	401	212
196	402	210
197	404	208
198	406	206
199	408	204
200	410	202
201	412	199
202	413	197
203	416	195
204	417	193
205	419	191
206	421	189
207	422	186
208	424	184
209	426	182
210	427	180
211	429	178
212	431	176
213	432	173
214	434	171
215	435	169
216	437	167
217	439	165
218	440	163
219	442	160
220	444	158
221	445	156
222	447	154
223	449	152
224	451	150
225	453	148
226	454	146
227	456	144
228	458	142
229	460	140
230	462	138
231	463	135
232	465	133
233	467	131
234	468	129
235	470	127
236	472	125
237	474	123
238	475	121
239	477	119
240	479	117
241	481	115
242	483	113
243	485	111
244	486	109
245	488	107
246	490	105
247	493	103
248	495	101
249	496	99
250	498	97
251	500	95
252	502	93
253	504	91
254	505	89
255	508	87
256	509	85
257	511	83
258	513	81
259	514	79
260	517	77
261	519	75
262	520	73
263	522	71
264	524	69
265	526	67
266	527	65
267	529	63
268	530	61
269	533	59
270	534	57
271	536	55
272	537	53
273	539	51
274	541	49
275	543	47
276	545	45
277	547	43
278	548	41
279	550	39
280	552	37
281	554	35
282	556	33
283	558	31
284	560	29
285	561	27
286	563	25
287	565	23
288	566	21
289	568	19
290	570	17
291	571	15
292	574	13
293	575	11
294	577	9
295	579	7
296	581	5
297	582	3
298	584	1
299	586	0
