Gender,Branch,CGPA,Backlogs,SSC_Marks,HSC_Marks,Internships,Projects,Workshops/Certifications,TechnicalSkillScore,CodingPlatformScore,GitHubScore,AptitudeTestScore,SoftSkillsRating,ExtracurricularActivities,PlacementTraining,InterviewRoundsCleared,CompanyTier,PlacementStatus,HasPortfolio,WillingToRelocate,PreferredRoleCategory,ExpectedCTC
0,6,7.6,2,58,71,1,3,3,42.4,48.9,7.9,66.1,4.8,1,0,0,0,0,0,0,0,6.2
1,3,8.4,0,71,81,1,1,0,52.8,48.7,3.0,78.0,4.8,1,0,0,0,0,0,1,8,7.7
1,10,8.4,0,83,85,1,3,1,70.5,53.3,5.3,78.9,4.4,1,1,3,2,1,0,1,8,7.9
0,6,7.5,2,73,58,2,0,0,46.5,51.7,1.6,70.8,3.4,1,1,1,0,0,0,2,2,7.5
1,11,8.6,0,62,78,0,3,0,75.3,68.9,7.1,84.7,4.8,1,1,3,1,1,1,1,8,8.7
0,8,7.2,1,79,82,2,2,0,48.1,47.9,4.3,84.2,4.8,0,1,0,0,0,0,1,8,5.5
1,10,8.2,1,66,72,2,1,0,38.4,39.8,0.7,76.2,4.3,0,0,0,0,0,0,1,8,6.4
0,4,8.6,0,77,72,1,3,2,75.2,60.9,7.4,85.0,4.8,1,1,1,3,1,1,2,7,10.0
0,8,8.3,0,66,69,1,2,2,60.1,45.3,6.8,67.3,3.7,1,1,1,0,0,1,1,8,8.1
1,5,7.7,0,80,83,2,3,2,48.3,57.7,7.1,82.0,4.8,1,1,1,3,1,1,2,8,6.2
1,6,6.5,2,76,61,1,1,3,25.4,25.8,2.4,69.9,3.5,0,0,1,0,0,0,2,0,4.1
1,1,8.6,0,57,82,1,1,2,53.8,35.9,0.9,84.0,4.3,1,1,2,3,1,0,1,9,6.7
1,8,7.5,0,63,71,2,1,1,35.6,36.7,2.5,68.3,4.3,1,1,1,1,0,0,1,2,4.8
1,0,7.5,1,60,68,1,1,0,41.0,18.8,3.5,66.0,3.7,0,0,0,0,0,0,1,1,4.0
0,9,6.6,1,81,64,0,2,1,20.4,23.7,2.5,75.9,4.7,1,0,0,0,0,0,0,8,2.7
1,2,6.5,0,69,71,1,2,0,27.5,34.2,3.5,83.0,4.5,0,0,0,0,0,0,1,9,3.7
1,8,7.7,1,80,83,1,1,2,21.8,17.1,1.9,85.0,4.7,1,1,1,0,0,0,1,1,4.6
1,4,8.4,0,76,71,1,2,2,55.9,40.8,5.2,84.0,4.7,1,1,0,0,0,1,2,6,6.8
1,4,6.5,0,55,63,1,2,1,20.0,25.3,3.4,72.0,4.4,0,0,0,0,0,0,0,9,3.1
1,2,8.3,0,83,87,1,3,1,58.8,52.4,9.4,90.0,4.8,1,1,2,3,1,1,1,0,7.3
1,3,8.4,0,81,84,2,3,2,75.4,54.6,6.3,84.0,4.2,1,1,1,3,1,0,0,8,7.8
1,1,6.6,0,55,68,0,1,1,20.0,7.4,0.3,69.0,4.2,0,0,0,0,0,0,1,8,2.0
0,4,6.6,0,79,85,2,3,2,42.9,33.0,6.5,85.0,4.8,1,1,3,2,1,0,2,6,4.8
0,4,8.1,0,75,81,1,3,0,68.6,62.0,6.9,90.0,4.8,1,1,2,2,1,0,1,4,7.3
1,4,8.5,0,73,83,2,3,2,71.9,65.8,6.6,85.0,4.8,1,1,4,1,1,0,1,5,8.9
0,11,7.5,0,79,62,2,2,0,49.3,38.5,4.4,80.6,4.0,0,1,1,0,0,1,1,9,6.5
1,2,6.6,2,81,61,1,1,1,20.0,27.6,1.7,72.0,3.9,0,0,0,0,0,0,1,9,3.2
1,2,6.5,0,78,61,0,3,0,20.0,32.5,7.1,77.0,4.2,0,0,0,0,0,1,2,2,4.1
0,5,7.2,0,64,84,1,3,1,45.5,58.9,6.6,75.0,4.2,1,1,0,0,0,1,0,0,5.7
0,5,7.8,1,60,86,1,3,0,48.2,43.9,7.4,82.0,4.2,1,0,3,2,1,0,2,8,5.7
1,2,8.3,0,78,86,1,2,2,64.9,52.0,5.6,88.0,4.4,1,1,2,2,1,0,1,1,7.0
