StudentID,Gender,Branch,CGPA,Backlogs,SSC_Marks,HSC_Marks,Internships,Projects,Workshops/Certifications,TechnicalSkillScore,CodingPlatformScore,GitHubScore,AptitudeTestScore,SoftSkillsRating,ExtracurricularActivities,PlacementTraining,InterviewRoundsCleared,CompanyTier,PlacementStatus
1,Male,IT,7.5,0,61,79,1,1,1,29.8,28.5,1.6,65,4.4,No,No,0,None,NotPlaced
2,Female,CSE,8.9,0,78,82,0,3,2,82.7,72.3,5.6,90,4.0,Yes,Yes,3,Tier1,Placed
3,Female,CSE,7.3,0,79,80,1,2,2,45.3,38.7,4.0,82,4.8,Yes,No,0,None,NotPlaced
4,Male,ECE,7.5,0,81,80,1,1,2,36.7,23.7,2.1,85,4.4,Yes,Yes,2,Tier2,Placed
5,Male,IT,8.3,0,74,88,1,2,2,55.3,51.9,4.0,86,4.5,Yes,Yes,2,Tier2,Placed
6,Male,Mechanical,7.0,0,55,66,0,2,2,32.0,38.8,5.5,71,4.2,Yes,No,0,None,NotPlaced
7,Male,CSE,7.7,2,62,65,1,1,1,31.3,31.3,4.1,76,4.0,No,No,0,None,NotPlaced
8,Female,ECE,7.7,0,59,72,2,1,0,47.4,44.7,2.5,85,3.5,Yes,Yes,0,None,NotPlaced
9,Male,Mechanical,6.5,1,75,71,1,1,0,20.0,11.7,1.6,84,3.9,No,Yes,0,None,NotPlaced
10,Female,EEE,7.8,0,85,86,1,3,2,54.2,50.7,6.4,79,4.4,Yes,Yes,2,Tier2,Placed
11,Male,Mechanical,8.3,0,82,88,2,3,2,75.7,71.9,7.9,90,4.8,Yes,Yes,1,Tier3,Placed
12,Female,EEE,7.9,0,71,87,1,3,2,54.8,49.7,7.4,90,4.8,Yes,Yes,3,Tier2,Placed
13,Female,Mechanical,8.3,0,84,83,2,3,2,63.7,38.3,7.0,90,4.5,Yes,Yes,1,Tier3,Placed
14,Male,IT,7.7,0,63,73,1,1,1,41.9,49.1,0.8,74,4.6,No,Yes,0,None,NotPlaced
15,Male,ECE,7.5,0,61,66,1,1,1,32.6,21.2,1.0,66,4.1,No,No,0,None,NotPlaced
16,Male,CSE,7.4,1,63,66,0,2,1,37.0,36.0,4.2,78,4.4,No,No,0,None,NotPlaced
17,Male,CSE,8.6,0,62,78,0,3,0,75.1,67.8,7.2,84,4.8,Yes,Yes,3,Tier2,Placed
18,Male,CSE,8.2,1,84,86,2,3,2,64.4,61.8,7.0,90,4.7,Yes,Yes,3,Tier1,Placed
19,Male,CSE,6.8,0,72,82,2,3,0,39.3,19.7,7.7,73,4.4,Yes,Yes,3,Tier2,Placed
20,Male,IT,7.4,0,58,63,1,2,0,46.8,40.0,2.8,70,4.4,No,Yes,0,None,NotPlaced
21,Male,CSE,7.6,0,77,75,2,1,0,43.3,38.3,2.3,84,4.4,No,Yes,2,Tier3,Placed
22,Male,CSE,7.4,0,82,69,1,2,1,35.5,42.8,4.2,72,3.5,No,Yes,1,Tier3,Placed
23,Male,Mechanical,7.7,0,55,72,0,1,0,27.2,29.6,1.0,77,3.4,No,Yes,3,Tier1,Placed
24,Male,CSE,7.4,0,55,71,1,1,0,28.4,36.9,1.4,60,3.8,No,No,0,None,NotPlaced
25,Male,Mechanical,7.4,0,56,69,1,2,1,35.3,37.1,4.7,90,4.3,No,Yes,0,None,NotPlaced
26,Female,CSE,6.7,0,68,57,1,1,1,20.0,19.7,0.9,70,4.0,No,No,0,None,NotPlaced
27,Male,Civil,7.4,0,76,82,2,3,2,52.4,45.3,9.5,78,4.3,Yes,Yes,0,None,NotPlaced
28,Male,Mechanical,8.3,0,64,65,1,1,1,50.4,54.8,3.6,81,4.5,Yes,Yes,0,None,NotPlaced
29,Male,ECE,7.5,0,66,73,1,2,1,36.8,22.9,3.9,84,4.4,No,No,0,None,NotPlaced
30,Male,EEE,7.0,0,60,61,0,1,1,20.0,26.9,1.7,63,3.9,No,Yes,0,None,NotPlaced
31,Male,CSE,8.4,0,55,80,2,3,2,61.7,46.3,7.8,90,4.6,Yes,Yes,4,Tier1,Placed
32,Male,Civil,7.4,0,66,69,1,2,1,39.7,27.9,3.6,76,4.7,No,Yes,0,None,NotPlaced
33,Male,EEE,8.5,0,85,85,1,3,0,74.9,68.7,6.6,90,4.8,Yes,Yes,4,Tier1,Placed
34,Female,EEE,8.6,0,62,80,1,2,2,55.9,38.8,6.5,75,4.3,Yes,Yes,3,Tier2,Placed
35,Female,EEE,6.9,0,79,68,0,1,0,20.0,23.3,1.5,70,3.9,No,Yes,2,Tier3,Placed
36,Female,IT,7.8,1,65,73,1,1,1,35.9,27.2,2.1,67,4.3,No,No,0,None,NotPlaced
37,Male,Mechanical,8.3,0,75,81,1,2,2,61.0,31.9,4.2,89,4.8,Yes,Yes,3,Tier2,Placed
38,Male,IT,8.2,0,72,72,1,2,2,55.8,49.8,4.3,77,4.2,No,Yes,3,Tier2,Placed
39,Female,IT,8.5,0,79,86,2,3,3,76.0,62.3,7.6,90,4.7,Yes,Yes,2,Tier2,Placed
40,Male,CSE,6.7,0,72,86,0,3,2,28.3,12.4,8.7,88,4.2,Yes,Yes,2,Tier3,Placed
41,Male,Mechanical,8.6,0,63,84,2,3,1,82.6,60.3,6.1,90,4.8,Yes,Yes,3,Tier1,Placed
42,Male,CSE,8.3,0,77,83,2,3,2,71.7,43.4,5.6,85,4.8,Yes,Yes,2,Tier3,Placed
43,Male,IT,6.7,1,55,60,0,1,1,20.0,26.3,1.7,72,4.4,No,No,0,None,NotPlaced
44,Female,IT,8.6,0,80,87,2,3,2,76.5,72.6,6.4,88,4.7,Yes,Yes,4,Tier1,Placed
45,Male,Mechanical,7.4,0,70,73,1,3,0,45.2,46.2,6.0,86,4.8,No,Yes,0,None,NotPlaced
46,Female,EEE,6.7,1,55,66,1,1,2,20.0,28.5,2.5,73,4.5,No,No,3,Tier2,Placed
47,Male,IT,6.9,0,55,65,1,1,1,20.0,16.7,4.3,76,4.4,No,No,0,None,NotPlaced
48,Male,CSE,7.0,0,59,67,1,1,0,20.0,24.0,1.5,62,4.3,No,Yes,0,None,NotPlaced
49,Male,EEE,8.1,0,77,87,1,3,2,62.0,51.4,4.8,90,4.6,Yes,Yes,2,Tier2,Placed
50,Male,Civil,7.7,1,55,66,1,2,0,45.3,39.9,4.8,74,3.8,Yes,No,0,None,NotPlaced
51,Female,Mechanical,6.5,0,56,65,0,2,1,21.3,29.5,4.4,77,4.8,No,Yes,0,None,NotPlaced
